GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.service,ParkingService,13,272,2,13,4,92,2,17,0,11
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.service,FareCalculatorService,5,122,1,10,1,43,1,11,0,6
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.service,InteractiveShell,3,77,1,5,1,33,1,6,0,3
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem,App,0,12,0,0,0,7,0,3,0,3
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.model,Ticket,0,86,0,4,0,28,0,17,0,15
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.model,ParkingSpot,1,63,1,7,0,22,1,12,0,9
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,5,0,1,0,1
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.util,ScannerWrapper,0,13,0,0,0,3,0,3,0,3
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.util,InputReaderUtil,0,70,0,10,0,29,0,9,0,4
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.dao,TicketDAO,34,243,7,9,9,89,6,9,0,7
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.dao,ParkingSpotDAO,12,91,3,5,3,29,3,6,0,5
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/main/java,com.parkit.parkingsystem.config,DataBaseConfig,15,62,3,3,6,28,3,6,0,6
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.config,DataBaseConfigIT,69,570,0,0,9,159,3,14,3,14
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.config,DataBaseTestConfig,15,62,2,4,3,25,2,7,0,6
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.service,DataBasePrepareService,3,36,0,0,1,11,0,2,0,2
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.service,InteractiveShellTest,3,0,0,0,1,0,1,0,1,0
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem,AppTest,0,205,0,0,0,56,0,4,0,4
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.dao,ParkingSpotDAOIT,7,400,3,3,2,105,3,17,0,17
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration.dao,TicketDAOIT,16,370,2,4,4,107,2,14,0,13
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.model,TicketTest,0,134,0,0,0,52,0,12,0,12
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.model,ParkingSpotTest,0,157,0,0,0,45,0,12,0,12
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.constants,DBConstantsTest,0,45,0,0,0,19,0,7,0,7
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.constants,FareTest,0,17,0,0,0,8,0,3,0,3
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.integration,ParkingDataBaseIT,5,257,2,2,0,68,3,11,1,11
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.unittest.util,InputReaderUtilTest,17,161,0,0,1,43,3,12,3,12
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.unittest.service,FareCalculatorServiceTest,35,775,0,0,0,171,6,19,6,19
parkingsystem (15 juin 2021 19:10:15)/parkingsystem/src/test/java,com.parkit.parkingsystem.unittest.service,ParkingServiceTest,53,958,1,1,13,231,3,28,2,28
